Date,Open,High,Low,Close,Adj Close,Volume
2016-09-12,25.662500,26.430000,25.632500,26.360001,24.837629,181171200
2016-09-13,26.877501,27.197500,26.809999,26.987499,25.428888,248704800
2016-09-14,27.182501,28.257500,27.150000,27.942499,26.328737,443554800
2016-09-15,28.465000,28.932501,28.372499,28.892500,27.223869,359934400
2016-09-16,28.780001,29.032499,28.510000,28.730000,27.070753,319547600
2016-09-19,28.797501,29.045000,28.312500,28.395000,26.755100,188092000
2016-09-20,28.262501,28.530001,28.127501,28.392500,26.752745,138057200
2016-09-21,28.462500,28.497499,28.110001,28.387501,26.748030,144012800
2016-09-22,28.587500,28.735001,28.500000,28.655001,27.000086,124296000
2016-09-23,28.605000,28.697500,27.887501,28.177500,26.550158,209924800
2016-09-26,27.910000,28.347500,27.887501,28.219999,26.590204,119477600
2016-09-27,28.250000,28.295000,28.084999,28.272499,26.639675,98429600
2016-09-28,28.422501,28.660000,28.357500,28.487499,26.842262,118564400
2016-09-29,28.290001,28.450001,27.950001,28.045000,26.425316,143548000
2016-09-30,28.115000,28.342501,27.950001,28.262501,26.630255,145516400
2016-10-03,28.177500,28.262501,28.070000,28.129999,26.505402,86807200
2016-10-04,28.264999,28.577499,28.157499,28.250000,26.618475,118947200
2016-10-05,28.350000,28.415001,28.172501,28.262501,26.630255,85812400
2016-10-06,28.424999,28.584999,28.282499,28.472500,26.828121,115117200
2016-10-07,28.577499,28.639999,28.377501,28.514999,26.868170,97433600
2016-10-10,28.754999,29.187500,28.680000,29.012501,27.336943,144944000
2016-10-11,29.424999,29.672501,29.049999,29.075001,27.395828,256164000
2016-10-12,29.337500,29.495001,29.187500,29.334999,27.640812,150347200
2016-10-13,29.197500,29.360001,28.930000,29.245001,27.556011,140769600
2016-10-14,29.469999,29.542500,29.282499,29.407499,27.709122,142608800
2016-10-17,29.332500,29.459999,29.195000,29.387501,27.690283,94499600
2016-10-18,29.545000,29.552500,29.362499,29.367500,27.671440,98214000
2016-10-19,29.312500,29.440001,28.450001,29.280001,27.588989,80138400
2016-10-20,29.215000,29.344999,29.082500,29.264999,27.574854,96503200
2016-10-21,29.202499,29.227501,29.070000,29.150000,27.466496,92770800
2016-10-24,29.275000,29.434999,29.250000,29.412500,27.713835,94154800
2016-10-25,29.487499,29.590000,29.327499,29.562500,27.855171,192516000
2016-10-26,28.577499,28.924999,28.327499,28.897499,27.228580,264536800
2016-10-27,28.847500,28.965000,28.525000,28.620001,26.967106,138248000
2016-10-28,28.467501,28.802500,28.362499,28.430000,26.788078,151446800
2016-10-31,28.412500,28.557501,28.299999,28.385000,26.745678,105677600
2016-11-01,28.365000,28.442499,27.632500,27.872499,26.262774,175303200
2016-11-02,27.850000,28.087500,27.807501,27.897499,26.286331,113326800
2016-11-03,27.745001,27.865000,27.387501,27.457500,26.004578,107730400
2016-11-04,27.132500,27.562500,27.027500,27.209999,25.770168,123348000
2016-11-07,27.520000,27.627501,27.365000,27.602501,26.141905,130240000
2016-11-08,27.577499,27.930000,27.424999,27.764999,26.295801,97016800
2016-11-09,27.469999,27.830000,27.012501,27.719999,26.253185,236705600
2016-11-10,27.772499,27.772499,26.457500,26.947500,25.521561,228538000
2016-11-11,26.780001,27.217501,26.637501,27.107500,25.673098,136575600
2016-11-14,26.927500,26.952499,26.020000,26.427500,25.029079,204702000
2016-11-15,26.642500,26.920000,26.540001,26.777500,25.360559,129058000
2016-11-16,26.674999,27.557501,26.650000,27.497499,26.042459,235362000
2016-11-17,27.452499,27.587500,27.207500,27.487499,26.032988,110528000
2016-11-18,27.430000,27.635000,27.415001,27.514999,26.059032,113715600
2016-11-21,27.530001,27.997499,27.502501,27.932501,26.454443,117058400
2016-11-22,27.987499,28.105000,27.850000,27.950001,26.471014,103862000
2016-11-23,27.840000,27.877501,27.582500,27.807501,26.336056,109705600
2016-11-25,27.782499,27.967501,27.737499,27.947500,26.468649,45903600
2016-11-28,27.857500,28.117500,27.847500,27.892500,26.416559,108776000
2016-11-29,27.695000,28.007500,27.517500,27.865000,26.390514,114115200
2016-11-30,27.900000,28.049999,27.567499,27.629999,26.167948,144649200
2016-12-01,27.592501,27.735001,27.257500,27.372499,25.924074,148347600
2016-12-02,27.292500,27.522499,27.212500,27.475000,26.021151,106112000
2016-12-05,27.500000,27.507500,27.062500,27.277500,25.834101,137298000
2016-12-06,27.375000,27.590000,27.297501,27.487499,26.032988,104782000
2016-12-07,27.315001,27.797501,27.290001,27.757500,26.288700,119994800
2016-12-08,27.715000,28.107500,27.650000,28.030001,26.546780,108273200
2016-12-09,28.077499,28.674999,28.077499,28.487499,26.980076,137610400
2016-12-12,28.322500,28.750000,28.122499,28.325001,26.826172,105497600
2016-12-13,28.459999,28.980000,28.437500,28.797501,27.273670,174935200
2016-12-14,28.760000,29.049999,28.745001,28.797501,27.273670,136127200
2016-12-15,28.844999,29.182501,28.807501,28.955000,27.422834,186098000
2016-12-16,29.117500,29.125000,28.912500,28.992500,27.458349,177404400
2016-12-19,28.950001,29.344999,28.937500,29.160000,27.616987,111117600
2016-12-20,29.184999,29.375000,29.170000,29.237499,27.690388,85700000
2016-12-21,29.200001,29.350000,29.195000,29.264999,27.716433,95132800
2016-12-22,29.087500,29.127501,28.910000,29.072500,27.534115,104343600
2016-12-23,28.897499,29.129999,28.897499,29.129999,27.588572,56998000
2016-12-27,29.129999,29.450001,29.122499,29.315001,27.763786,73187600
2016-12-28,29.379999,29.504999,29.049999,29.190001,27.645403,83623600
2016-12-29,29.112499,29.277500,29.100000,29.182501,27.638296,60158000
2016-12-30,29.162500,29.299999,28.857500,28.955000,27.422834,122345200
2017-01-03,28.950001,29.082500,28.690001,29.037500,27.500973,115127600
2017-01-04,28.962500,29.127501,28.937500,29.004999,27.470192,84472400
2017-01-05,28.980000,29.215000,28.952499,29.152500,27.609884,88774400
2017-01-06,29.195000,29.540001,29.117500,29.477501,27.917688,127007600
2017-01-09,29.487499,29.857500,29.485001,29.747499,28.173399,134247600
2017-01-10,29.692499,29.844999,29.575001,29.777500,28.201811,97848400
2017-01-11,29.684999,29.982500,29.650000,29.937500,28.353342,110354400
2017-01-12,29.725000,29.825001,29.552500,29.812500,28.234957,108344800
2017-01-13,29.777500,29.905001,29.702499,29.760000,28.185240,104447600
2017-01-17,29.584999,30.059999,29.555000,30.000000,28.412540,137759200
2017-01-18,30.000000,30.125000,29.927500,29.997499,28.410173,94852000
2017-01-19,29.850000,30.022499,29.842501,29.945000,28.360449,102389200
2017-01-20,30.112499,30.112499,29.932501,30.000000,28.412540,130391600
2017-01-23,30.000000,30.202499,29.942499,30.020000,28.431480,88200800
2017-01-24,29.887501,30.025000,29.875000,29.992500,28.405436,92844000
2017-01-25,30.105000,30.525000,30.070000,30.469999,28.857664,129510400
2017-01-26,30.417500,30.610001,30.400000,30.485001,28.871874,105350400
2017-01-27,30.535000,30.587500,30.400000,30.487499,28.874241,82251600
2017-01-30,30.232500,30.407499,30.165001,30.407499,28.798475,121510000
2017-01-31,30.287500,30.347500,30.155001,30.337500,28.732176,196804000
2017-02-01,31.757500,32.622501,31.752501,32.187500,30.484282,447940000
2017-02-02,31.995001,32.347500,31.945000,32.132500,30.432201,134841600
2017-02-03,32.077499,32.297501,32.040001,32.270000,30.562422,98029200
2017-02-06,32.282501,32.625000,32.224998,32.572498,30.848915,107383600
2017-02-07,32.634998,33.022499,32.612499,32.882500,31.142504,152735200
2017-02-08,32.837502,33.055000,32.805000,33.009998,31.263260,92016400
2017-02-09,32.912498,33.112499,32.779999,33.105000,31.489168,113399600
2017-02-10,33.115002,33.235001,33.012501,33.029999,31.417830,80262000
2017-02-13,33.270000,33.455002,33.187500,33.322498,31.696058,92141600
2017-02-14,33.367500,33.772499,33.312500,33.755001,32.107441,132904800
2017-02-15,33.880001,34.067501,33.654999,33.877499,32.223965,142492400
2017-02-16,33.917500,33.974998,33.709999,33.837502,32.185925,90338400
2017-02-17,33.775002,33.957500,33.775002,33.930000,32.273911,88792800
